Employee ID,Date,Day of the Week,Time-in,Time-out,Total Hours Worked
EMP02,14-07-2022,Thursday,9:00 AM,6:00 PM,9
EMP02,15-07-2022,Friday,9:00 AM,6:00 PM,9
EMP02,16-07-2022,weekend off,weekend off,weekend off,0
EMP02,17-07-2022,weekend off,weekend off,weekend off,0
EMP02,18-07-2022,Monday,9:00 AM,6:00 PM,9
EMP02,19-07-2022,Tuesday,9:00 AM,6:00 PM,9
EMP02,20-07-2022,Wednesday,9:00 AM,6:00 PM,9
EMP02,21-07-2022,Thursday,9:00 AM,6:00 PM,9
EMP02,22-07-2022,Friday,9:00 AM,6:00 PM,9
EMP02,23-07-2022,weekend off,weekend off,weekend off,0
EMP02,24-07-2022,weekend off,weekend off,weekend off,0
EMP02,25-07-2022,Monday,9:00 AM,6:00 PM,9
EMP02,26-07-2022,Tuesday,9:00 AM,6:00 PM,9
EMP02,27-07-2022,Wednesday,9:00 AM,6:00 PM,9
EMP02,28-07-2022,Thursday,9:00 AM,6:00 PM,9
EMP02,29-07-2022,Friday,9:00 AM,6:00 PM,9
EMP02,30-07-2022,weekend off,weekend off,weekend off,0
EMP02,31-07-2022,weekend off,weekend off,weekend off,0
EMP03,01-07-2022,Friday,9:00 AM,6:00 PM,9
EMP03,02-07-2022,weekend off,weekend off,weekend off,0
EMP03,03-07-2022,weekend off,weekend off,weekend off,0
EMP03,04-07-2022,Monday,9:00 AM,6:00 PM,9
EMP03,05-07-2022,Tuesday,9:00 AM,6:00 PM,9
EMP03,06-07-2022,Wednesday,9:00 AM,6:00 PM,9
EMP03,07-07-2022,Thursday,9:00 AM,6:00 PM,9
EMP03,08-07-2022,Friday,9:00 AM,6:00 PM,9
EMP03,09-07-2022,weekend off,weekend off,weekend off,0
EMP03,10-07-2022,weekend off,weekend off,weekend off,0
EMP03,11-07-2022,Monday,9:00 AM,6:00 PM,9
EMP03,12-07-2022,Tuesday,9:00 AM,6:00 PM,9
EMP03,13-07-2022,Wednesday,9:00 AM,6:00 PM,9
EMP03,14-07-2022,Thursday,9:00 AM,6:00 PM,9
EMP03,15-07-2022,Friday,9:00 AM,6:00 PM,9
EMP03,16-07-2022,weekend off,weekend off,weekend off,0
EMP03,17-07-2022,weekend off,weekend off,weekend off,0
EMP03,18-07-2022,Monday,9:00 AM,6:00 PM,9
EMP03,19-07-2022,Tuesday,9:00 AM,6:00 PM,9
EMP03,20-07-2022,Wednesday,9:00 AM,6:00 PM,9
EMP03,21-07-2022,Thursday,9:00 AM,6:00 PM,9
EMP03,22-07-2022,Friday,9:00 AM,6:00 PM,9
EMP03,23-07-2022,weekend off,weekend off,weekend off,0
EMP03,24-07-2022,weekend off,weekend off,weekend off,0
EMP03,25-07-2022,Monday,9:00 AM,6:00 PM,9
EMP03,26-07-2022,Tuesday,9:00 AM,6:00 PM,9
EMP03,27-07-2022,Wednesday,9:00 AM,6:00 PM,9
EMP03,28-07-2022,Thursday,9:00 AM,6:00 PM,9
EMP03,29-07-2022,Friday,9:00 AM,6:00 PM,9
EMP03,30-07-2022,weekend off,weekend off,weekend off,0
EMP03,31-07-2022,weekend off,weekend off,weekend off,0
